matchday,Arsenal,Bournemouth,Brighton,Burnley,Cardiff,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield,Leicester,Liverpool,Man City,Man Utd,Newcastle,Southampton,Spurs,Watford,West Ham,Wolves
1,"('Man City', 'Home')","('Cardiff', 'Home')","('Watford', 'Away')","('Southampton', 'Away')","('Bournemouth', 'Away')","('Huddersfield', 'Away')","('Fulham', 'Away')","('Wolves', 'Away')","('Crystal Palace', 'Home')","('Chelsea', 'Home')","('Man Utd', 'Away')","('West Ham', 'Home')","('Arsenal', 'Away')","('Leicester', 'Home')","('Spurs', 'Home')","('Burnley', 'Home')","('Newcastle', 'Away')","('Brighton', 'Home')","('Liverpool', 'Away')","('Everton', 'Home')"
2,"('Chelsea', 'Away')","('West Ham', 'Away')","('Man Utd', 'Home')","('Watford', 'Home')","('Newcastle', 'Home')","('Arsenal', 'Home')","('Liverpool', 'Home')","('Southampton', 'Home')","('Spurs', 'Away')","('Man City', 'Away')","('Wolves', 'Home')","('Crystal Palace', 'Away')","('Huddersfield', 'Home')","('Brighton', 'Away')","('Cardiff', 'Away')","('Everton', 'Away')","('Fulham', 'Home')","('Burnley', 'Away')","('Bournemouth', 'Home')","('Leicester', 'Away')"
3,"('West Ham', 'Home')","('Everton', 'Home')","('Liverpool', 'Away')","('Fulham', 'Away')","('Huddersfield', 'Away')","('Newcastle', 'Away')","('Watford', 'Away')","('Bournemouth', 'Away')","('Burnley', 'Home')","('Cardiff', 'Home')","('Southampton', 'Away')","('Brighton', 'Home')","('Wolves', 'Away')","('Spurs', 'Home')","('Chelsea', 'Home')","('Leicester', 'Home')","('Man Utd', 'Away')","('Crystal Palace', 'Home')","('Arsenal', 'Away')","('Man City', 'Home')"
4,"('Cardiff', 'Away')","('Chelsea', 'Away')","('Fulham', 'Home')","('Man Utd', 'Home')","('Arsenal', 'Home')","('Bournemouth', 'Home')","('Southampton', 'Home')","('Huddersfield', 'Home')","('Brighton', 'Away')","('Everton', 'Away')","('Liverpool', 'Home')","('Leicester', 'Away')","('Newcastle', 'Home')","('Burnley', 'Away')","('Man City', 'Away')","('Crystal Palace', 'Away')","('Watford', 'Away')","('Spurs', 'Home')","('Wolves', 'Home')","('West Ham', 'Away')"
5,"('Newcastle', 'Away')","('Leicester', 'Home')","('Southampton', 'Away')","('Wolves', 'Away')","('Chelsea', 'Away')","('Cardiff', 'Home')","('Huddersfield', 'Away')","('West Ham', 'Home')","('Man City', 'Away')","('Crystal Palace', 'Home')","('Bournemouth', 'Away')","('Spurs', 'Away')","('Fulham', 'Home')","('Watford', 'Away')","('Arsenal', 'Home')","('Brighton', 'Home')","('Liverpool', 'Home')","('Man Utd', 'Home')","('Everton', 'Away')","('Burnley', 'Home')"
6,"('Everton', 'Home')","('Burnley', 'Away')","('Spurs', 'Home')","('Bournemouth', 'Home')","('Man City', 'Home')","('West Ham', 'Away')","('Newcastle', 'Home')","('Arsenal', 'Away')","('Watford', 'Home')","('Leicester', 'Away')","('Huddersfield', 'Home')","('Southampton', 'Home')","('Cardiff', 'Away')","('Wolves', 'Home')","('Crystal Palace', 'Away')","('Liverpool', 'Away')","('Brighton', 'Away')","('Fulham', 'Away')","('Chelsea', 'Home')","('Man Utd', 'Away')"
7,"('Watford', 'Home')","('Crystal Palace', 'Home')","('Man City', 'Away')","('Cardiff', 'Away')","('Burnley', 'Home')","('Liverpool', 'Home')","('Bournemouth', 'Away')","('Fulham', 'Home')","('Everton', 'Away')","('Spurs', 'Home')","('Newcastle', 'Away')","('Chelsea', 'Away')","('Brighton', 'Home')","('West Ham', 'Away')","('Leicester', 'Home')","('Wolves', 'Away')","('Huddersfield', 'Away')","('Arsenal', 'Away')","('Man Utd', 'Home')","('Southampton', 'Home')"
8,"('Fulham', 'Away')","('Watford', 'Away')","('West Ham', 'Home')","('Huddersfield', 'Home')","('Spurs', 'Away')","('Southampton', 'Away')","('Wolves', 'Home')","('Leicester', 'Away')","('Arsenal', 'Home')","('Burnley', 'Away')","('Everton', 'Home')","('Man City', 'Home')","('Liverpool', 'Away')","('Newcastle', 'Home')","('Man Utd', 'Away')","('Chelsea', 'Home')","('Cardiff', 'Home')","('Bournemouth', 'Home')","('Brighton', 'Away')","('Crystal Palace', 'Away')"
9,"('Leicester', 'Home')","('Southampton', 'Home')","('Newcastle', 'Away')","('Man City', 'Away')","('Fulham', 'Home')","('Man Utd', 'Home')","('Everton', 'Away')","('Crystal Palace', 'Home')","('Cardiff', 'Away')","('Liverpool', 'Home')","('Arsenal', 'Away')","('Huddersfield', 'Away')","('Burnley', 'Home')","('Chelsea', 'Away')","('Brighton', 'Home')","('Bournemouth', 'Away')","('West Ham', 'Away')","('Wolves', 'Away')","('Spurs', 'Home')","('Watford', 'Home')"
10,"('Crystal Palace', 'Away')","('Fulham', 'Away')","('Wolves', 'Home')","('Chelsea', 'Home')","('Liverpool', 'Away')","('Burnley', 'Away')","('Arsenal', 'Home')","('Man Utd', 'Away')","('Bournemouth', 'Home')","('Watford', 'Away')","('West Ham', 'Home')","('Cardiff', 'Home')","('Spurs', 'Away')","('Everton', 'Home')","('Southampton', 'Away')","('Newcastle', 'Home')","('Man City', 'Home')","('Huddersfield', 'Home')","('Leicester', 'Away')","('Brighton', 'Away')"
11,"('Liverpool', 'Home')","('Man Utd', 'Home')","('Everton', 'Away')","('West Ham', 'Away')","('Leicester', 'Home')","('Crystal Palace', 'Home')","('Chelsea', 'Away')","('Brighton', 'Home')","('Huddersfield', 'Away')","('Fulham', 'Home')","('Cardiff', 'Away')","('Arsenal', 'Away')","('Southampton', 'Home')","('Bournemouth', 'Away')","('Watford', 'Home')","('Man City', 'Away')","('Wolves', 'Away')","('Newcastle', 'Away')","('Burnley', 'Home')","('Spurs', 'Home')"
12,"('Wolves', 'Home')","('Newcastle', 'Away')","('Cardiff', 'Away')","('Leicester', 'Away')","('Brighton', 'Home')","('Everton', 'Home')","('Spurs', 'Home')","('Chelsea', 'Away')","('Liverpool', 'Away')","('West Ham', 'Home')","('Burnley', 'Home')","('Fulham', 'Home')","('Man Utd', 'Home')","('Man City', 'Away')","('Bournemouth', 'Home')","('Watford', 'Home')","('Crystal Palace', 'Away')","('Southampton', 'Away')","('Huddersfield', 'Away')","('Arsenal', 'Away')"
13,"('Bournemouth', 'Away')","('Arsenal', 'Home')","('Leicester', 'Home')","('Newcastle', 'Home')","('Everton', 'Away')","('Spurs', 'Away')","('Man Utd', 'Away')","('Cardiff', 'Home')","('Southampton', 'Home')","('Wolves', 'Away')","('Brighton', 'Away')","('Watford', 'Away')","('West Ham', 'Away')","('Crystal Palace', 'Home')","('Burnley', 'Away')","('Fulham', 'Away')","('Chelsea', 'Home')","('Liverpool', 'Home')","('Man City', 'Home')","('Huddersfield', 'Home')"
14,"('Spurs', 'Home')","('Man City', 'Away')","('Huddersfield', 'Away')","('Crystal Palace', 'Away')","('Wolves', 'Home')","('Fulham', 'Home')","('Burnley', 'Home')","('Liverpool', 'Away')","('Chelsea', 'Away')","('Brighton', 'Home')","('Watford', 'Home')","('Everton', 'Home')","('Bournemouth', 'Home')","('Southampton', 'Away')","('West Ham', 'Home')","('Man Utd', 'Home')","('Arsenal', 'Away')","('Leicester', 'Away')","('Newcastle', 'Away')","('Cardiff', 'Away')"
15,"('Man Utd', 'Away')","('Huddersfield', 'Home')","('Crystal Palace', 'Home')","('Liverpool', 'Home')","('West Ham', 'Away')","('Wolves', 'Away')","('Brighton', 'Away')","('Newcastle', 'Home')","('Leicester', 'Home')","('Bournemouth', 'Away')","('Fulham', 'Away')","('Burnley', 'Away')","('Watford', 'Away')","('Arsenal', 'Home')","('Everton', 'Away')","('Spurs', 'Away')","('Southampton', 'Home')","('Man City', 'Home')","('Cardiff', 'Home')","('Chelsea', 'Home')"
16,"('Huddersfield', 'Home')","('Liverpool', 'Home')","('Burnley', 'Away')","('Brighton', 'Home')","('Southampton', 'Home')","('Man City', 'Home')","('West Ham', 'Away')","('Watford', 'Home')","('Man Utd', 'Away')","('Arsenal', 'Away')","('Spurs', 'Home')","('Bournemouth', 'Away')","('Chelsea', 'Away')","('Fulham', 'Home')","('Wolves', 'Home')","('Cardiff', 'Away')","('Leicester', 'Away')","('Everton', 'Away')","('Crystal Palace', 'Home')","('Newcastle', 'Away')"
17,"('Southampton', 'Away')","('Wolves', 'Away')","('Chelsea', 'Home')","('Spurs', 'Away')","('Watford', 'Away')","('Brighton', 'Away')","('Leicester', 'Home')","('Man City', 'Away')","('West Ham', 'Home')","('Newcastle', 'Home')","('Crystal Palace', 'Away')","('Man Utd', 'Home')","('Everton', 'Home')","('Liverpool', 'Away')","('Huddersfield', 'Away')","('Arsenal', 'Home')","('Burnley', 'Home')","('Cardiff', 'Home')","('Fulham', 'Away')","('Bournemouth', 'Home')"
18,"('Burnley', 'Home')","('Brighton', 'Home')","('Bournemouth', 'Away')","('Arsenal', 'Away')","('Man Utd', 'Home')","('Leicester', 'Home')","('Man City', 'Away')","('Spurs', 'Home')","('Newcastle', 'Away')","('Southampton', 'Home')","('Chelsea', 'Away')","('Wolves', 'Away')","('Crystal Palace', 'Home')","('Cardiff', 'Away')","('Fulham', 'Home')","('Huddersfield', 'Away')","('Everton', 'Away')","('West Ham', 'Away')","('Watford', 'Home')","('Liverpool', 'Home')"
19,"('Brighton', 'Away')","('Spurs', 'Away')","('Arsenal', 'Home')","('Everton', 'Home')","('Crystal Palace', 'Away')","('Watford', 'Away')","('Cardiff', 'Home')","('Burnley', 'Away')","('Wolves', 'Home')","('Man Utd', 'Away')","('Man City', 'Home')","('Newcastle', 'Home')","('Leicester', 'Away')","('Huddersfield', 'Home')","('Liverpool', 'Away')","('West Ham', 'Home')","('Bournemouth', 'Home')","('Chelsea', 'Home')","('Southampton', 'Away')","('Fulham', 'Away')"
20,"('Liverpool', 'Away')","('Man Utd', 'Away')","('Everton', 'Home')","('West Ham', 'Home')","('Leicester', 'Away')","('Crystal Palace', 'Away')","('Chelsea', 'Home')","('Brighton', 'Away')","('Huddersfield', 'Home')","('Fulham', 'Away')","('Cardiff', 'Home')","('Arsenal', 'Home')","('Southampton', 'Away')","('Bournemouth', 'Home')","('Watford', 'Away')","('Man City', 'Home')","('Wolves', 'Home')","('Newcastle', 'Home')","('Burnley', 'Away')","('Spurs', 'Away')"
21,"('Fulham', 'Home')","('Watford', 'Home')","('West Ham', 'Away')","('Huddersfield', 'Away')","('Spurs', 'Home')","('Southampton', 'Home')","('Wolves', 'Away')","('Leicester', 'Home')","('Arsenal', 'Away')","('Burnley', 'Home')","('Everton', 'Away')","('Man City', 'Away')","('Liverpool', 'Home')","('Newcastle', 'Away')","('Man Utd', 'Home')","('Chelsea', 'Away')","('Cardiff', 'Away')","('Bournemouth', 'Away')","('Brighton', 'Home')","('Crystal Palace', 'Home')"
22,"('West Ham', 'Away')","('Everton', 'Away')","('Liverpool', 'Home')","('Fulham', 'Home')","('Huddersfield', 'Home')","('Newcastle', 'Home')","('Watford', 'Home')","('Bournemouth', 'Home')","('Burnley', 'Away')","('Cardiff', 'Away')","('Southampton', 'Home')","('Brighton', 'Away')","('Wolves', 'Home')","('Spurs', 'Away')","('Chelsea', 'Away')","('Leicester', 'Away')","('Man Utd', 'Home')","('Crystal Palace', 'Away')","('Arsenal', 'Home')","('Man City', 'Away')"
23,"('Chelsea', 'Home')","('West Ham', 'Home')","('Man Utd', 'Away')","('Watford', 'Away')","('Newcastle', 'Away')","('Arsenal', 'Away')","('Liverpool', 'Away')","('Southampton', 'Away')","('Spurs', 'Home')","('Man City', 'Home')","('Wolves', 'Away')","('Crystal Palace', 'Home')","('Huddersfield', 'Away')","('Brighton', 'Home')","('Cardiff', 'Home')","('Everton', 'Home')","('Fulham', 'Away')","('Burnley', 'Home')","('Bournemouth', 'Away')","('Leicester', 'Home')"
24,"('Cardiff', 'Home')","('Chelsea', 'Home')","('Fulham', 'Away')","('Man Utd', 'Away')","('Arsenal', 'Away')","('Bournemouth', 'Away')","('Southampton', 'Away')","('Huddersfield', 'Away')","('Brighton', 'Home')","('Everton', 'Home')","('Liverpool', 'Away')","('Leicester', 'Home')","('Newcastle', 'Away')","('Burnley', 'Home')","('Man City', 'Home')","('Crystal Palace', 'Home')","('Watford', 'Home')","('Spurs', 'Away')","('Wolves', 'Away')","('West Ham', 'Home')"
25,"('Man City', 'Away')","('Cardiff', 'Away')","('Watford', 'Home')","('Southampton', 'Home')","('Bournemouth', 'Home')","('Huddersfield', 'Home')","('Fulham', 'Home')","('Wolves', 'Home')","('Crystal Palace', 'Away')","('Chelsea', 'Away')","('Man Utd', 'Home')","('West Ham', 'Away')","('Arsenal', 'Home')","('Leicester', 'Away')","('Spurs', 'Away')","('Burnley', 'Away')","('Newcastle', 'Home')","('Brighton', 'Away')","('Liverpool', 'Home')","('Everton', 'Away')"
26,"('Huddersfield', 'Away')","('Liverpool', 'Away')","('Burnley', 'Home')","('Brighton', 'Away')","('Southampton', 'Away')","('Man City', 'Away')","('West Ham', 'Home')","('Watford', 'Away')","('Man Utd', 'Home')","('Arsenal', 'Home')","('Spurs', 'Away')","('Bournemouth', 'Home')","('Chelsea', 'Home')","('Fulham', 'Away')","('Wolves', 'Away')","('Cardiff', 'Home')","('Leicester', 'Home')","('Everton', 'Home')","('Crystal Palace', 'Away')","('Newcastle', 'Home')"
27,"('Southampton', 'Home')","('Wolves', 'Home')","('Chelsea', 'Away')","('Spurs', 'Home')","('Watford', 'Home')","('Brighton', 'Home')","('Leicester', 'Away')","('Man City', 'Home')","('West Ham', 'Away')","('Newcastle', 'Away')","('Crystal Palace', 'Home')","('Man Utd', 'Away')","('Everton', 'Away')","('Liverpool', 'Home')","('Huddersfield', 'Home')","('Arsenal', 'Away')","('Burnley', 'Away')","('Cardiff', 'Away')","('Fulham', 'Home')","('Bournemouth', 'Away')"
28,"('Bournemouth', 'Home')","('Arsenal', 'Away')","('Leicester', 'Away')","('Newcastle', 'Away')","('Everton', 'Home')","('Spurs', 'Home')","('Man Utd', 'Home')","('Cardiff', 'Away')","('Southampton', 'Away')","('Wolves', 'Home')","('Brighton', 'Home')","('Watford', 'Home')","('West Ham', 'Home')","('Crystal Palace', 'Away')","('Burnley', 'Home')","('Fulham', 'Home')","('Chelsea', 'Away')","('Liverpool', 'Away')","('Man City', 'Away')","('Huddersfield', 'Away')"
29,"('Spurs', 'Away')","('Man City', 'Home')","('Huddersfield', 'Home')","('Crystal Palace', 'Home')","('Wolves', 'Away')","('Fulham', 'Away')","('Burnley', 'Away')","('Liverpool', 'Home')","('Chelsea', 'Home')","('Brighton', 'Away')","('Watford', 'Away')","('Everton', 'Away')","('Bournemouth', 'Away')","('Southampton', 'Home')","('West Ham', 'Away')","('Man Utd', 'Away')","('Arsenal', 'Home')","('Leicester', 'Home')","('Newcastle', 'Home')","('Cardiff', 'Home')"
30,"('Man Utd', 'Home')","('Huddersfield', 'Away')","('Crystal Palace', 'Away')","('Liverpool', 'Away')","('West Ham', 'Home')","('Wolves', 'Home')","('Brighton', 'Home')","('Newcastle', 'Away')","('Leicester', 'Away')","('Bournemouth', 'Home')","('Fulham', 'Home')","('Burnley', 'Home')","('Watford', 'Home')","('Arsenal', 'Away')","('Everton', 'Home')","('Spurs', 'Home')","('Southampton', 'Away')","('Man City', 'Away')","('Cardiff', 'Away')","('Chelsea', 'Away')"
31,"('Wolves', 'Away')","('Newcastle', 'Home')","('Cardiff', 'Home')","('Leicester', 'Home')","('Brighton', 'Away')","('Everton', 'Away')","('Spurs', 'Away')","('Chelsea', 'Home')","('Liverpool', 'Home')","('West Ham', 'Away')","('Burnley', 'Away')","('Fulham', 'Away')","('Man Utd', 'Away')","('Man City', 'Home')","('Bournemouth', 'Away')","('Watford', 'Away')","('Crystal Palace', 'Home')","('Southampton', 'Home')","('Huddersfield', 'Home')","('Arsenal', 'Home')"
32,"('Newcastle', 'Home')","('Leicester', 'Away')","('Southampton', 'Home')","('Wolves', 'Home')","('Chelsea', 'Home')","('Cardiff', 'Away')","('Huddersfield', 'Home')","('West Ham', 'Away')","('Man City', 'Home')","('Crystal Palace', 'Away')","('Bournemouth', 'Home')","('Spurs', 'Home')","('Fulham', 'Away')","('Watford', 'Home')","('Arsenal', 'Away')","('Brighton', 'Away')","('Liverpool', 'Away')","('Man Utd', 'Away')","('Everton', 'Home')","('Burnley', 'Away')"
33,"('Everton', 'Away')","('Burnley', 'Home')","('Spurs', 'Away')","('Bournemouth', 'Away')","('Man City', 'Away')","('West Ham', 'Home')","('Newcastle', 'Away')","('Arsenal', 'Home')","('Watford', 'Away')","('Leicester', 'Home')","('Huddersfield', 'Away')","('Southampton', 'Away')","('Cardiff', 'Home')","('Wolves', 'Away')","('Crystal Palace', 'Home')","('Liverpool', 'Home')","('Brighton', 'Home')","('Fulham', 'Home')","('Chelsea', 'Away')","('Man Utd', 'Home')"
34,"('Watford', 'Away')","('Brighton', 'Away')","('Bournemouth', 'Home')","('Cardiff', 'Home')","('Burnley', 'Away')","('Liverpool', 'Away')","('Man City', 'Home')","('Fulham', 'Away')","('Everton', 'Home')","('Spurs', 'Away')","('Newcastle', 'Home')","('Chelsea', 'Home')","('Crystal Palace', 'Away')","('West Ham', 'Home')","('Leicester', 'Away')","('Wolves', 'Home')","('Huddersfield', 'Home')","('Arsenal', 'Home')","('Man Utd', 'Away')","('Southampton', 'Away')"
35,"('Crystal Palace', 'Home')","('Fulham', 'Home')","('Wolves', 'Away')","('Chelsea', 'Away')","('Liverpool', 'Home')","('Burnley', 'Home')","('Arsenal', 'Away')","('Man Utd', 'Home')","('Bournemouth', 'Away')","('Watford', 'Home')","('West Ham', 'Away')","('Cardiff', 'Away')","('Spurs', 'Home')","('Everton', 'Away')","('Southampton', 'Home')","('Newcastle', 'Away')","('Man City', 'Away')","('Huddersfield', 'Away')","('Leicester', 'Home')","('Brighton', 'Home')"
36,"('Leicester', 'Away')","('Southampton', 'Away')","('Newcastle', 'Home')","('Man City', 'Home')","('Fulham', 'Away')","('Man Utd', 'Away')","('Everton', 'Home')","('Crystal Palace', 'Away')","('Cardiff', 'Home')","('Liverpool', 'Away')","('Arsenal', 'Home')","('Huddersfield', 'Home')","('Burnley', 'Away')","('Chelsea', 'Home')","('Brighton', 'Away')","('Bournemouth', 'Home')","('West Ham', 'Home')","('Wolves', 'Home')","('Spurs', 'Away')","('Watford', 'Away')"
37,"('Brighton', 'Home')","('Spurs', 'Home')","('Arsenal', 'Away')","('Everton', 'Away')","('Crystal Palace', 'Home')","('Watford', 'Home')","('Cardiff', 'Away')","('Burnley', 'Home')","('Wolves', 'Away')","('Man Utd', 'Home')","('Man City', 'Away')","('Newcastle', 'Away')","('Leicester', 'Home')","('Huddersfield', 'Away')","('Liverpool', 'Home')","('West Ham', 'Away')","('Bournemouth', 'Away')","('Chelsea', 'Away')","('Southampton', 'Home')","('Fulham', 'Home')"
38,"('Burnley', 'Away')","('Crystal Palace', 'Away')","('Man City', 'Home')","('Arsenal', 'Home')","('Man Utd', 'Away')","('Leicester', 'Away')","('Bournemouth', 'Home')","('Spurs', 'Away')","('Newcastle', 'Home')","('Southampton', 'Away')","('Chelsea', 'Home')","('Wolves', 'Home')","('Brighton', 'Away')","('Cardiff', 'Home')","('Fulham', 'Away')","('Huddersfield', 'Home')","('Everton', 'Home')","('West Ham', 'Home')","('Watford', 'Away')","('Liverpool', 'Away')"
